acteur_id,nom,prenom,civilite,trigramme,date_naissance,groupe_organe_ref,groupe_code,groupe_libelle,groupe_libelle_court,groupe_couleur,position_politique,circonscription_numero,departement,profession,uri_hatvp,an_legislatures,senat_active
PA643104,Minard,Christelle,Mme,CMIN,1970-10-04,PO845425,DR,Droite Républicaine,DR,#8CB0DC,,2,Eure-et-Loir,Agricultrice,https://www.hatvp.fr/pages_nominatives/minard-christelle-21338,17,False
PA643143,Baptiste,Christian,M.,CBP,1962-06-18,PO845419,SOC,Socialistes et apparentés,SOC,#F5B4CE,,2,Guadeloupe,Directeur d'association,https://www.hatvp.fr/pages_nominatives/baptiste-christian,17,False
PA643157,Naillet,Philippe,M.,PNI,1960-08-14,PO845419,SOC,Socialistes et apparentés,SOC,#F5B4CE,,1,Réunion,Inspecteur assurance-vie,https://www.hatvp.fr/pages_nominatives/naillet-philippe,17,False
PA643175,Dupont,Stella,Mme,SDU,1973-11-03,PO840056,NI,Non inscrit,NI,#8D949A,,2,Maine-et-Loire,Comptable,https://www.hatvp.fr/pages_nominatives/dupont-stella,17,False
PA643184,Klinkert,Brigitte,Mme,BKL,1956-07-22,PO845407,EPR,Ensemble pour la République,EPR,#7B4591,,1,Haut-Rhin,Ancien cadre,https://www.hatvp.fr/pages_nominatives/klinkert-brigitte-13215,17,False
PA643192,Jourdan,Chantal,Mme,CJO,1958-09-02,PO845419,SOC,Socialistes et apparentés,SOC,#F5B4CE,,1,Orne,Psychologue,https://www.hatvp.fr/pages_nominatives/jourdan-chantal-20670,17,False
PA687214,Berrios,Sylvain,M.,SBE,1968-05-06,PO845470,HOR,Horizons & Indépendants,HOR,#B5E2F9,,1,Val-de-Marne,(33) - Cadre de la fonction publique,https://www.hatvp.fr/pages_nominatives/berrios-sylvain,17,False
PA712014,Ledoux,Vincent,M.,VLE,1966-06-21,PO845407,EPR,Ensemble pour la République,EPR,#7B4591,,10,Nord,Sans profession déclarée,https://www.hatvp.fr/pages_nominatives/ledoux-vincent,17,False
PA712015,Dive,Julien,M.,JDV,1985-05-21,PO845425,DR,Droite Républicaine,DR,#8CB0DC,,2,Aisne,Chef de projet dans l'industrie,https://www.hatvp.fr/pages_nominatives/dive-julien,17,False
PA717161,Borne,Élisabeth,Mme,ELB,1961-04-18,PO845407,EPR,Ensemble pour la République,EPR,#7B4591,,6,Calvados,Ingénieur et cadre technique d'entreprise,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",17,False
PA717379,Maillard,Sylvain,M.,SMA,1974-04-28,PO845407,EPR,Ensemble pour la République,EPR,#7B4591,,1,Paris,Industriel-Chef d'entreprise,https://www.hatvp.fr/pages_nominatives/maillard-sylvain,17,False
PA718674,Givernet,Olga,Mme,OGI,1981-10-17,PO845407,EPR,Ensemble pour la République,EPR,#7B4591,,3,Ain,Ingénieure,https://www.hatvp.fr/pages_nominatives/givernet-olga,17,False
PA718784,Pauget,Éric,M.,EPA,1970-08-18,PO845425,DR,Droite Républicaine,DR,#8CB0DC,,7,Alpes-Maritimes,Autre cadre (secteur privé),https://www.hatvp.fr/pages_nominatives/pauget-eric-6497,17,False
PA718820,Cestrières,Pauline,Mme,PCE,1977-03-24,PO845407,EPR,Ensemble pour la République,EPR,#7B4591,,1,Aveyron,Agricultrice,https://www.hatvp.fr/pages_nominatives/cestrieres-pauline-30435,17,False
PA718838,Brun,Fabrice,M.,FBR,1968-04-02,PO845425,DR,Droite Républicaine,DR,#8CB0DC,,3,Ardèche,Industriel-Chef d'entreprise,https://www.hatvp.fr/pages_nominatives/brun-fabrice,17,False
PA718850,Cordier,Pierre,M.,PCD,1972-05-27,PO845425,DR,Droite Républicaine,DR,#8CB0DC,,2,Ardennes,Fonctionnaire de catégorie A,https://www.hatvp.fr/pages_nominatives/cordier-pierre-2482,17,False
PA718884,Bazin-Malgras,Valérie,Mme,VBA,1969-10-31,PO845425,DR,Droite Républicaine,DR,#8CB0DC,,2,Aube,Commerçante,https://www.hatvp.fr/pages_nominatives/bazin-malgras-valerie,17,False
PA719024,Blanchet,Christophe,M.,CBA,1973-04-09,PO845454,DEM,Les Démocrates,Dem,#F07E26,,4,Calvados,Commerçant,https://www.hatvp.fr/pages_nominatives/blanchet-christophe,17,False
PA719032,Bouyx,Bertrand,M.,BBU,1970-05-26,PO845470,HOR,Horizons & Indépendants,HOR,#B5E2F9,,5,Calvados,Pharmacien,https://www.hatvp.fr/pages_nominatives/bouyx-bertrand,17,False
PA719052,Kervran,Loïc,M.,LKE,1984-02-11,PO845470,HOR,Horizons & Indépendants,HOR,#B5E2F9,,3,Cher,Autre cadre (secteur privé),https://www.hatvp.fr/pages_nominatives/kervran-loic,17,False
PA719080,Marsaud,Sandra,Mme,SMR,1974-01-02,PO845407,EPR,Ensemble pour la République,EPR,#7B4591,,2,Charente,Cadre (entreprises publiques),https://www.hatvp.fr/pages_nominatives/marsaud-sandra,17,False
PA719118,Cormier-Bouligeon,François,M.,FCR,1972-11-19,PO845407,EPR,Ensemble pour la République,EPR,#7B4591,,1,Cher,Juriste,https://www.hatvp.fr/pages_nominatives/cormier-bouligeon-francois,17,False
PA719138,Castellani,Michel,M.,MCA,1945-09-28,PO845485,LIOT,"Libertés, Indépendants, Outre-mer et Territoires",LIOT,#FFD96F,,1,Haute-Corse,Professeur des Universités,https://www.hatvp.fr/pages_nominatives/castellani-michel,17,False
PA719218,Berville,Hervé,M.,HBR,1990-01-15,PO845407,EPR,Ensemble pour la République,EPR,#7B4591,,2,Côtes-d'Armor,Economiste,https://www.hatvp.fr/pages_nominatives/berville-herve,17,False
